ball,Innings,Over,Batting,Striker,Non-Striker,Bowler,Runs,Extras,Out,Batsman Out,Playing Against,Match ID,Over type
ball,1,0.1,South Africa,GC Smith,LE Bosman,Z Khan,0,0,,,South Africa,255954,Powerplay
ball,1,0.2,South Africa,GC Smith,LE Bosman,Z Khan,1,0,,,South Africa,255954,Powerplay
ball,1,0.3,South Africa,LE Bosman,GC Smith,Z Khan,0,1,,,South Africa,255954,Powerplay
ball,1,0.4,South Africa,LE Bosman,GC Smith,Z Khan,0,0,,,South Africa,255954,Powerplay
ball,1,0.5,South Africa,LE Bosman,GC Smith,Z Khan,0,0,,,South Africa,255954,Powerplay
ball,1,0.6,South Africa,LE Bosman,GC Smith,Z Khan,0,0,,,South Africa,255954,Powerplay
ball,1,0.7,South Africa,LE Bosman,GC Smith,Z Khan,0,0,,,South Africa,255954,Powerplay
ball,1,1.1,South Africa,GC Smith,LE Bosman,S Sreesanth,0,0,,,South Africa,255954,Powerplay
ball,1,1.2,South Africa,GC Smith,LE Bosman,S Sreesanth,0,0,,,South Africa,255954,Powerplay
ball,1,1.3,South Africa,GC Smith,LE Bosman,S Sreesanth,0,5,,,South Africa,255954,Powerplay
ball,1,1.4,South Africa,GC Smith,LE Bosman,S Sreesanth,4,0,,,South Africa,255954,Powerplay
ball,1,1.5,South Africa,GC Smith,LE Bosman,S Sreesanth,0,0,,,South Africa,255954,Powerplay
ball,1,1.6,South Africa,GC Smith,LE Bosman,S Sreesanth,4,0,,,South Africa,255954,Powerplay
ball,1,1.7,South Africa,GC Smith,LE Bosman,S Sreesanth,0,0,,,South Africa,255954,Powerplay
ball,1,2.1,South Africa,LE Bosman,GC Smith,Z Khan,0,1,,,South Africa,255954,Powerplay
ball,1,2.2,South Africa,GC Smith,LE Bosman,Z Khan,1,0,,,South Africa,255954,Powerplay
ball,1,2.3,South Africa,LE Bosman,GC Smith,Z Khan,1,0,,,South Africa,255954,Powerplay
ball,1,2.4,South Africa,GC Smith,LE Bosman,Z Khan,0,0,,,South Africa,255954,Powerplay
