"CAP","Player Name","International Status","Last played ","Role","Batting Style","Bowling Style","Bowling Type","Batting Experience","Batting Average","Bowling Experience","Bowling Average","Top Order"
"1","AB AGARKAR","Retired","-","Bowler"," Q1","Right-arm Fast-medium","Fast bowler","","","","",""
"2","MS DHONI","Retired","-","WK-Batsman","Right-handed","Right-arm Medium","Fast bowler","","","","",""
"3","HARBHAJAN SINGH","Retired","2016","Bowler","Right-handed","Right-arm Offbreak","Spinner","","","","",""
"4","KD KARTHIK","Playing","2019","WK-Batsman","Right-handed","-","-","26","33.25","0","0",""
"5","Z KHAN","Retired","-","Bowler","Right-handed","Left-arm Fast-medium","Fast bowler","","","","",""
"6","D MONGIA","Retired","-","Batting Allrounder","Left-handed","Left-arm Orthodox","Spinner","","","","",""
"7","IK PATHAN","Retired","-","Bowling Allrounder","Left-handed","Left-arm Fast-medium","Fast bowler","","","","",""
"8","SK RAINA","Retired","-","Batsman","Left-handed","Right-arm Offbreak","Spinner","","","","",""
"9","V SEHWAG","Retired","-","Batsman","Right-handed","Right-arm Offbreak","Spinner","","","","",""
"10","S SREESANTH","Banned","-","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","","","","",""
"11","SR TENDULKAR","Retired","-","Batsman","Right-handed","Right-arm Legbreak","Spinner","","","","",""
"12","G GAMBHIR","Retired","-","Batsman","Left-handed","Right-arm Legbreak","Spinner","","","","",""
"13","RP SINGH","Retired","-","Bowler","Right-handed","Left-arm Fast-medium","Fast bowler","","","","",""
"14","RV UTHAPPA","Playing","2015","WK-Batsman","Right-handed","Right-arm Medium","Fast bowler","12","24.9","0","0",""
"15","YUVRAJ SINGH","Retired","-","Batting Allrounder","Left-handed","Left-arm Orthodox","Spinner","","","","",""
"16","JOGINDER SHARMA","Retired","-","Batting Allrounder","Right-handed","Right-arm Fast-medium","Fast bowler","","","","",""
"17","RG SHARMA","Playing","2020","Batsman","Right-handed","Right-arm Offbreak","Spinner","100","32.24","9","113","1"
"18","YK PATHAN","Retired","-","Batting Allrounder","Right-handed","Right-arm Offbreak","Spinner","","","","",""
"19","M KARTHIK","Retired","-","Bowler","Left-handed","Left-arm Orthodox","Spinner","","","","",""
"20","P KUMAR","Retired","-","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","","","","",""
"21","I SHARMA","Playing","2013","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","3","8","14","50",""
"22","RA JADEJA","Playing","2020","Bowling Allrounder","Left-handed","Left-arm Orthodox","Spinner","24","15.5","49","29.54",""
"23","PP OJHA","Retired","-","Bowler","Left-handed","Left-arm Orthodox","Spinner","","","","",""
"24","AB DINDA","Retired","2012","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","","","","",""
"25","A NEHRA","Retired","-","Bowler","Right-handed","Left-arm Fast-medium","Fast bowler","","","","",""
"26","S TYAGI","Retired","-","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","","","","",""
"27","M VIJAY","Playing","2015","Batsman","Right-handed","Right-arm Offbreak","Spinner","9","18.78","0","0","1"
